mmstp_0.5_ptlim_0.5,0.2994369969907115,537.9199spl999999983,38_ga
mmstp_0.5_ptlim_1.0,0.7834963198411659,1344.8730000000069,38
mmstp_0.5_ptlim_1.5,0.5138706508935039,882.0599999999977,35
mmstp_0.5_ptlim_2.0,0.24987586980439294,559.6180000000022,35
mmstp_0.5_ptlim_2.5,0.5587354761272322,1135.8310000000056,34
mmstp_0.5_ptlim_3.0,0.8916241157777739,1812.547000000006,32
mmstp_0.5_ptlim_3.5,1.057267593439785,2149.277000000002,32
mmstp_0.5_ptlim_4.0,1.2281700519612446,2496.6989999999932,32
mmstp_0.5_ptlim_4.5,1.202611591550817,2444.7409999999945,32
mmstp_0.5_ptlim_5.0,1.202611591550817,2444.7409999999945,32
mmstp_1.0_ptlim_0.5,0.6940204416234442,1158.148000000001,37
mmstp_1.0_ptlim_1.0,0.9515027730783255,1766.5610000000015,37
mmstp_1.0_ptlim_1.5,1.046702524288996,1943.3099999999977,35
mmstp_1.0_ptlim_2.0,0.6850751486963377,1630.2609999999986,35
mmstp_1.0_ptlim_2.5,1.0248562529672038,2229.9550000000017,34
mmstp_1.0_ptlim_3.0,0.5905763591045767,1816.6429999999964,32
mmstp_1.0_ptlim_3.5,0.7000451878220426,2153.373999999996,32
mmstp_1.0_ptlim_4.0,0.8129891214417435,2500.796000000002,32
mmstp_1.0_ptlim_4.5,0.7960976589789942,2448.8369999999995,32
mmstp_1.0_ptlim_5.0,0.7960976589789942,2448.8369999999995,32
mmstp_1.5_ptlim_0.5,1.10800094994444,1805.5639999999985,35
mmstp_1.5_ptlim_1.0,1.3282453458697956,2413.976999999999,35
mmstp_1.5_ptlim_1.5,1.236920180167687,2248.001000000004,33
mmstp_1.5_ptlim_2.0,0.826726266492747,1934.9520000000048,33
mmstp_1.5_ptlim_2.5,1.186249934478025,2534.6459999999934,32
mmstp_1.5_ptlim_3.0,0.701481592219352,2130.3070000000007,31
mmstp_1.5_ptlim_3.5,0.8123625433711776,2467.0369999999966,31
mmstp_1.5_ptlim_4.0,0.9267639972379442,2814.4590000000026,31
mmstp_1.5_ptlim_4.5,0.9096542885630847,2762.5,31
mmstp_1.5_ptlim_5.0,0.9096542885630847,2762.5,31
mmstp_2.0_ptlim_0.5,0.43797932132085177,983.8220000000001,35
mmstp_2.0_ptlim_1.0,0.6541303343090435,1592.2350000000006,35
mmstp_2.0_ptlim_1.5,0.5859434441302118,1426.2590000000055,33
mmstp_2.0_ptlim_2.0,0.3764397880972816,1113.2100000000064,33
mmstp_2.0_ptlim_2.5,0.6221063894233789,1712.903999999995,32
mmstp_2.0_ptlim_3.0,0.35815998252669734,1308.5639999999985,31
mmstp_2.0_ptlim_3.5,0.4503248052454924,1645.2949999999983,31
mmstp_2.0_ptlim_4.0,0.5454159530957805,1992.7170000000042,31
mmstp_2.0_ptlim_4.5,0.5311943866471585,1940.7580000000016,31
mmstp_2.0_ptlim_5.0,0.5311943866471585,1940.7580000000016,31
mmstp_2.5_ptlim_0.5,1.091260852413875,1953.023000000001,34
mmstp_2.5_ptlim_1.0,1.3690687022563826,2481.5,34
mmstp_2.5_ptlim_1.5,1.2774980607388735,2315.524000000005,32
mmstp_2.5_ptlim_2.0,1.0796006377676977,2252.074999999997,32
mmstp_2.5_ptlim_2.5,1.6153826191606317,2987.8859999999986,32
mmstp_2.5_ptlim_3.0,0.9762942517755167,2583.546000000002,31
mmstp_2.5_ptlim_3.5,1.1035412757087486,2920.277000000002,31
mmstp_2.5_ptlim_4.0,1.2986876463460892,3351.630999999994,31
mmstp_2.5_ptlim_4.5,1.27855499668124,3299.672999999995,31
mmstp_2.5_ptlim_5.0,1.27855499668124,3299.672999999995,31
mmstp_3.0_ptlim_0.5,1.0810446260895015,1934.7379999999976,34
mmstp_3.0_ptlim_1.0,1.3454081780350062,2463.2149999999965,34
mmstp_3.0_ptlim_1.5,1.2364139562854173,2263.6649999999936,32
mmstp_3.0_ptlim_2.0,1.0455749907808396,2200.2160000000003,32
mmstp_3.0_ptlim_2.5,1.5873453623017661,2936.027000000002,32
mmstp_3.0_ptlim_3.0,0.9501325358041824,2531.6879999999946,31
mmstp_3.0_ptlim_3.5,1.0765059786539088,2868.418000000005,31
mmstp_3.0_ptlim_4.0,1.269598563792868,3299.773000000001,31
mmstp_3.0_ptlim_4.5,1.2496071668767417,3247.8139999999985,31
mmstp_3.0_ptlim_5.0,1.2496071668767417,3247.8139999999985,31
mmstp_3.5_ptlim_0.5,0.6781217831974052,1473.0080000000016,34
mmstp_3.5_ptlim_1.0,0.8730341308257427,2001.4839999999967,34
mmstp_3.5_ptlim_1.5,0.7585342331131008,1738.9860000000044,32
mmstp_3.5_ptlim_2.0,0.6529651502196737,1675.5359999999928,32
mmstp_3.5_ptlim_2.5,1.0802853227330302,2411.3469999999943,32
mmstp_3.5_ptlim_3.0,0.6419767302755292,2007.0080000000016,31
mmstp_3.5_ptlim_3.5,0.7496859699330785,2343.7379999999976,31
mmstp_3.5_ptlim_4.0,0.9121511221054972,2775.0929999999935,31
mmstp_3.5_ptlim_4.5,0.895072609726464,2723.1340000000055,31
mmstp_3.5_ptlim_5.0,0.895072609726464,2723.1340000000055,31
