n10,-0.038862271008886964,-181.86000000000058,87
n100,0.9298838998040808,1855.7599999999948,30
n15,1.497450339557795,3269.574999999997,68
n20,1.7794954736855622,3454.756999999998,59
n25,1.8737978546686058,3637.8380000000034,55
n30,2.429227966203029,4103.894,50
n35,1.9382150748702593,3629.706999999995,48
n40,1.2937896991481612,2102.046000000002,45
n45,1.2736233157856736,2069.279999999999,41
n5,-0.7900850375428347,-3856.793000000005,130
n50,1.204572041167358,2119.1530000000057,38
n55,1.2586601851462391,2214.3080000000045,36
n60,1.4611682879941417,2570.572,35
n65,1.3707360550505139,2411.476999999999,33
n70,1.5430823676800052,2714.679999999993,32
n75,1.3224994863931754,2639.298999999999,31
n80,1.3224994863931754,2639.298999999999,31
n85,1.1109105121536877,2217.032999999996,30
n90,1.1109105121536877,2217.032999999996,30
n95,0.9964914372930886,1988.6870000000054,30
